,name,played,run_bat,50s,100s,batted,out,bowled,wkt_tacken,5_wkt_taken,run_given_bowler,econ,over
509,ja burns,5,77,0,0,5,5,0,0,0,0,0.0,0.0
510,ac agar,9,144,0,0,8,7,9,8,0,414,4.81140625,72.0
511,mp stoinis,21,721,5,1,21,17,19,18,0,781,7.04810980796814,128.2
512,rjw topley,10,7,0,0,5,1,10,16,0,410,5.8628124999999995,76.7
513,gsnfg jayasuriya,7,69,0,0,6,5,6,1,0,104,5.1884375,20.0
514,md gunathilaka,21,537,3,0,21,20,7,4,0,169,3.0433660888671876,30.0
515,j blackwood,2,11,0,0,2,2,1,0,0,16,2.665,3.0
516,bilal asif,1,2,0,0,1,1,1,0,0,32,8.0,4.0
517,iftikhar ahmed,2,8,0,0,2,2,2,1,0,49,4.83,10.0
518,zafar gohar,1,15,0,0,1,1,1,2,0,54,5.4,10.0
519,hm nicholls,28,624,6,0,26,20,0,0,0,0,0.0,0.0
520,jdf vandersay,8,71,0,0,7,6,8,7,0,365,4.87890625,63.5
521,js paris,2,0,0,0,0,0,2,1,0,93,5.8100000000000005,16.0
522,sm boland,12,9,0,0,4,3,12,14,0,683,6.0927148437500005,111.2
523,mk pandey,18,357,1,1,15,10,0,0,0,0,0.0,0.0
524,bb sran,3,0,0,0,0,0,3,3,0,170,6.85,26.2
525,gurkeerat singh,3,13,0,0,3,2,3,0,0,68,7.6,10.0
526,r dhawan,3,12,0,0,2,1,3,1,0,160,6.545,25.0
527,jj bumrah,40,11,0,0,6,4,40,69,1,1539,2.6233680478761743,337.1000000000001
528,a zampa,31,89,0,0,16,12,31,37,0,1498,5.61081414937973,257.0
529,t shamsi,10,0,0,0,3,1,10,13,0,416,5.31314453125,85.3
530,tm head,39,1273,10,1,39,37,24,11,0,682,0.011255680825233868,114.9
531,st gabriel,15,19,0,0,12,6,15,18,0,691,7.940205688476563,114.1
532,bkg mendis,37,907,8,0,36,36,2,0,0,28,8.400820661336184e-08,3.2
533,md shanaka,10,260,2,0,10,9,4,1,0,61,0.31890625,8.0
534,jm vince,5,131,1,0,5,5,0,0,0,0,0.0,0.0
535,kmc bandara,1,1,0,0,1,0,1,1,0,83,8.3,10.0
536,dm de silva,21,453,3,0,21,19,18,10,0,396,4.735402545928955,74.0
537,ma aponso,8,10,0,0,7,3,8,10,0,300,6.45015625,61.5
538,padlr sandakan,11,16,0,0,7,4,11,8,0,512,9.388486328125001,77.0
539,mohammad nawaz(3),11,136,0,0,10,7,11,10,0,465,4.90859375,89.3
540,hasan ali,33,135,1,0,16,11,33,65,3,1502,6.576174902769271,274.8
541,wia fernando,1,0,0,0,1,1,0,0,0,0,0.0,0.0
542,la dawson,2,14,0,0,2,2,2,3,0,96,6.54,14.0
543,kc brathwaite,8,176,0,0,8,8,5,1,0,140,5.1778125,25.2
544,dj worrall,2,6,0,0,1,0,2,0,0,128,7.734999999999999,16.2
545,al phehlukwayo,30,268,0,0,19,9,30,38,0,1240,6.481847679745406,208.4
546,cp tremain,4,23,0,0,3,1,4,7,0,255,6.1875,40.0
547,jm mennie,2,1,0,0,2,2,2,3,0,131,6.55,20.0
548,as joseph,12,77,0,0,7,2,12,20,1,698,7.7757568359375,102.1
549,e lewis,21,697,1,2,21,21,0,0,0,0,0.0,0.0
550,d pretorius,13,101,1,0,7,6,13,21,0,535,5.086945800781249,109.2
551,bm duckett,3,123,2,0,3,3,0,0,0,0,0.0,0.0
552,mosaddek hossain,17,256,1,0,16,9,16,7,0,340,2.6730845642089847,63.2
553,jt ball,16,38,0,0,6,4,16,19,1,926,6.284897460937501,145.5
554,hh pandya,40,650,4,0,26,23,40,38,0,1595,5.8198747289292445,286.0
555,j yadav,1,1,0,0,1,0,1,1,0,8,2.0,4.0
556,sd hope,29,1108,6,2,29,27,0,0,0,0,0.0,0.0
557,r powell,22,434,2,0,22,20,10,3,0,203,5.522460479736328,32.3
558,ar nurse,25,292,0,0,24,18,25,27,0,1157,6.404695647358894,213.5
559,das gunaratne,17,396,0,1,15,13,14,6,0,429,3.591633605957031,78.0
560,lh ferguson,18,44,0,0,10,5,18,27,0,844,5.426155090332031,147.2
561,subashis roy,1,1,0,0,1,0,1,1,0,45,4.5,10.0
562,tanbir hayder,2,5,0,0,2,2,2,0,0,67,7.9350000000000005,10.0
563,nurul hasan,2,68,0,0,2,2,0,0,0,0,0.0,0.0
564,ca lynn,4,75,0,0,4,4,0,0,0,0,0.0,0.0
565,b stanlake,6,4,0,0,4,2,6,7,0,275,5.1759375,49.0
566,kl rahul,9,61,0,0,8,7,0,0,0,0,0.0,0.0
567,psp handscomb,8,149,1,0,7,7,0,0,0,0,0.0,0.0
568,ds weerakkody,3,73,1,0,3,3,0,0,0,0,0.0,0.0
569,sd heazlett,1,4,0,0,1,1,0,0,0,0,0.0,0.0
570,ld madushanka,3,13,0,0,3,3,3,4,0,154,7.0375,22.0
571,cbrls kumara,8,16,0,0,5,2,8,8,0,396,6.9509375,51.4
572,mehidy hasan miraz,14,183,1,0,8,7,14,18,0,530,3.5340673828125,128.0
573,shadab khan,21,223,3,0,11,8,21,30,0,813,3.528083353042603,169.3
574,sha rance,1,0,0,0,0,0,1,0,0,66,7.33,9.0
575,ka maharaj,4,25,0,0,2,2,4,6,0,166,4.85625,31.1
576,ts roland-jones,1,37,0,0,1,0,1,1,0,34,4.85,7.0
577,fakhar zaman,18,671,5,1,18,17,3,1,0,69,0.1325811767578125,12.6
578,faheem ashraf,10,99,0,0,8,6,10,8,0,315,4.750781249999999,62.2
579,rumman raees,9,27,0,0,4,3,9,14,0,464,6.502812499999999,76.7
580,ml cummins,5,5,0,0,2,1,5,7,0,314,8.348749999999999,41.0
581,kuldeep yadav,29,51,0,0,10,2,28,60,1,1198,4.25108449075371,253.6
582,rl chase,7,108,0,0,7,6,5,2,0,126,5.66,21.5
583,kok williams,5,19,0,0,5,1,5,4,0,206,5.12,39.0
584,ka hope,6,138,0,0,6,6,0,0,0,0,0.0,0.0
585,pwh de silva,4,33,0,0,4,4,4,1,0,134,7.342500000000001,17.8
586,mvt fernando,6,27,0,0,6,2,6,3,0,247,5.8890625,39.3
587,ys chahal,29,16,0,0,4,3,28,46,1,1245,4.897726580873131,256.7
588,a dananjaya,22,242,1,0,19,14,21,36,2,920,4.291842079162597,176.2
589,pm pushpakumara,2,11,0,0,2,2,2,1,0,105,5.609999999999999,19.0
590,sn thakur,4,22,0,0,1,0,4,6,0,177,5.48375,31.5
591,emdy munaweera,2,15,0,0,2,2,0,0,0,0,0.0,0.0
592,hwr cartwright,2,2,0,0,2,2,0,0,0,0,0.0,0.0
593,sw ambris,1,38,0,0,1,0,0,0,0,0,0.0,0.0
594,tk curran,11,71,0,0,6,1,11,18,1,515,7.25458984375,82.0
595,mohammad saifuddin,3,22,0,0,2,1,3,1,0,98,6.16,16.0
596,d paterson,3,0,0,0,0,0,3,4,0,180,6.25,26.5
597,imam-ul-haq,9,294,1,1,9,8,0,0,0,0,0.0,0.0
598,s samarawickrama,6,132,1,0,6,6,0,0,0,0,0.0,0.0
599,usman shinwari,3,0,0,0,1,1,3,6,1,99,6.047499999999999,17.3
600,t bavuma,1,48,0,0,1,1,0,0,0,0,0.0,0.0
601,ak markram,13,303,1,0,13,13,3,2,0,56,3.00390625,8.0
602,pwa mulder,6,43,0,0,6,4,6,6,0,236,7.2284375,38.0
603,ss iyer,6,210,2,0,5,5,1,0,0,2,0.0625,1.0
604,washington sundar,1,0,0,0,0,0,1,1,0,65,6.5,10.0
605,so hetmyer,12,423,1,2,12,12,0,0,0,0,0.0,0.0
606,rr beaton,2,15,0,0,2,1,2,1,0,102,6.08,17.0
607,td astle,6,69,0,0,4,2,5,7,0,150,3.206875,28.0
608,aj tye,7,57,0,0,7,4,7,12,1,392,8.9071875,63.9
609,aamer yamin,1,32,0,0,1,0,1,1,0,65,7.22,9.0
610,at carey,6,199,0,0,6,6,0,0,0,0,0.0,0.0
611,ja richardson,4,21,0,0,3,2,4,7,0,271,7.9525,37.0
612,k zondo,3,96,1,0,3,3,0,0,0,0,0.0,0.0
613,l ngidi,11,30,0,0,5,1,11,22,0,554,5.954833984375,92.3
614,h klaasen,9,147,0,0,9,7,0,0,0,0,0.0,0.0
615,ms chapman,3,9,0,0,3,3,0,0,0,0,0.0,0.0
616,mg neser,2,8,0,0,2,2,2,2,0,120,7.14,16.4
617,djm short,4,83,0,0,4,3,3,0,0,59,5.1875,7.0
618,c overton,1,0,0,0,0,0,1,0,0,55,7.85,7.0
619,sm curran,2,17,0,0,2,2,2,2,0,90,7.495,12.0
620,s kaul,2,1,0,0,1,1,2,0,0,121,6.785,18.0
621,kma paul,7,94,0,0,6,5,7,6,0,373,6.17953125,53.0
622,ngrp jayasuriya,2,11,0,0,2,1,2,0,0,95,6.15,16.0
623,cak rajitha,3,0,0,0,0,0,3,2,0,92,5.335000000000001,15.5
624,rr hendricks,6,172,0,1,6,6,0,0,0,0,0.0,0.0
625,cj dala,2,8,0,0,2,1,2,1,0,121,7.165,17.0
626,asif ali,3,70,0,0,3,3,0,0,0,0,0.0,0.0
627,najmul hossain shanto,1,7,0,0,1,1,0,0,0,0,0.0,0.0
628,shaheen shah afridi,4,14,0,0,2,1,4,10,0,173,5.01,33.0
629,nazmul islam,1,7,0,0,1,1,1,1,0,56,5.6,10.0
630,op stone,3,9,0,0,1,0,3,1,0,97,6.5275,16.0
631,c hemraj,5,50,0,0,5,5,1,0,0,9,0.481875,1.1
632,kk ahmed,4,3,0,0,1,1,4,7,0,171,4.3325,32.0
633,o thomas,4,0,0,0,2,1,4,6,0,204,6.58375,28.0
634,rr pant,2,24,0,0,1,1,0,0,0,0,0.0,0.0
635,fa allen,4,25,0,0,4,4,4,0,0,131,5.4625,23.0
636,oc mccoy,1,0,0,0,1,0,1,2,0,38,7.6,5.0
